timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-07-18T11:35:38.452608+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:35:45.655720+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:24:56.064179+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:35:52.997978+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:35:59.721789+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:39:41.435783+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:39:41.941130+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:39:48.757393+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:39:48.814119+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T12:36:53.277454+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:38:34.190873+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:40:58.997390+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:42:13.466005+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:43:39.541482+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:45:52.748074+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:46:33.523027+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T12:46:45.064839+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:46:54.464210+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T12:47:26.685004+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:52:32.396604+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T12:52:41.215179+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:05:15.026955+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:06:03.877628+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:06:13.939050+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:06:54.775159+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:07:26.213619+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:09:22.304219+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:09:36.778178+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:10:46.167419+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:10:56.148915+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:11:05.044188+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:13:30.274329+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:13:37.656396+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:14:11.460178+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:14:18.759647+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:15:50.013933+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:15:57.746662+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:15:59.253319+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:16:02.596224+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:19:24.948189+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:20:16.210510+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:23:18.520706+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:23:26.146444+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T05:24:49.367537+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-20T05:24:56.760265+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-20T12:51:40.204141+00:00,baseline:muon,false,1,,,,,,,,,
2026-07-20T12:51:52.212351+00:00,baseline:lion,false,1,,,,,,,,,
2026-07-20T12:52:04.014396+00:00,baseline:adamw_nesterov,false,1,,,,,,,,,
2026-07-20T14:36:49.560468+00:00,baseline:lion,false,1,8.4818,11870.06,6115.79,170.5,,,,,78.1
2026-07-20T14:58:05.942646+00:00,baseline:lion,false,1,8.4818,11870.68,6115.7,175.5,25.88,26.03,51.58,50.04,560.8
2026-07-20T15:09:03.915220+00:00,baseline:adamw_nesterov,false,1,,,,,,,,,
2026-07-20T15:09:10.879433+00:00,baseline:muon,false,1,,,,,,,,,
2026-07-21T00:19:34.222707+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,2.2876,44.66,49.5,40860.5,53.07,33.29,64.47,53.75,498.4
2026-07-21T00:22:25.983521+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.2608,42.27,47.79,40909.4,56.78,33.81,64.15,50.36,536.5
2026-07-21T00:23:35.894768+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,2.295,44.81,48.77,41023.2,55.77,32.96,63.6,51.93,521.4
2026-07-21T00:23:55.427972+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,2.3106,45.88,49.98,41096.9,54.17,32.77,63.55,51.14,503.7
2026-07-21T00:26:38.335684+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.3718,50.52,53.14,41069.5,53.58,32.29,63.28,50.99,519.6
2026-07-21T00:29:56.615603+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2485,42.65,47.27,41206.0,56.52,34.31,65.13,51.3,496.4
2026-07-21T00:32:40.315744+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,2.2903,45.27,48.89,41350.9,54.63,33.67,62.57,52.17,489.0
2026-07-21T02:26:48.643400+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,2.2622,43.55,47.77,40184.2,55.85,34.18,64.53,51.46,518.6
2026-07-21T02:33:08.968491+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.3245,46.46,50.52,40621.2,53.66,32.77,63.22,51.78,494.9
2026-07-21T02:33:31.810573+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2464,42.3,46.99,40512.0,56.14,34.4,65.34,49.09,503.1
2026-07-21T02:34:54.221882+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,2.2966,45.32,48.97,40763.8,54.04,33.31,63.82,53.43,480.4
2026-07-21T02:35:17.199442+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,2.2887,44.11,49.04,40695.0,54.59,33.4,63.93,51.93,491.1
2026-07-21T02:35:57.472794+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,14.1,55.85,34.18,64.53,51.46,473.5
2026-07-21T02:36:51.522324+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.3689,51.04,53.12,40726.3,54.67,32.24,62.62,52.01,486.9
2026-07-21T02:39:10.625004+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,2.2955,44.88,49.59,40901.3,55.77,33.3,63.98,51.85,494.5
2026-07-21T02:42:55.321743+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,2.3003,45.33,49.64,41025.7,55.35,33.14,63.44,50.75,513.1
2026-07-21T02:43:31.537127+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,,,,11.3,54.04,33.31,63.82,53.43,460.8
2026-07-21T11:48:38.030484+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,2.2876,44.41,48.57,40776.8,56.4,33.42,63.93,50.59,475.3
2026-07-21T11:52:52.785363+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.269,42.92,47.74,40862.8,56.06,33.63,64.15,49.09,486.2
2026-07-21T11:54:51.580862+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,2.2916,45.15,49.71,40942.9,54.29,33.3,64.04,51.54,466.7
2026-07-21T11:57:14.592224+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,2.3155,46.06,49.96,41039.2,54.59,32.6,63.66,50.75,471.8
2026-07-21T11:57:21.079754+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,2.3106,45.88,49.98,41096.9,54.17,32.77,63.55,51.14,503.7
2026-07-21T11:58:48.792829+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.3664,49.65,52.82,40982.2,54.76,32.44,62.73,50.12,445.2
2026-07-21T12:04:35.853917+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2537,42.74,47.34,41125.4,56.57,34.51,64.64,49.41,473.7
2026-07-21T12:10:15.861997+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,2.295,45.2,48.89,41305.3,54.0,33.01,63.55,50.51,465.0
2026-07-21T12:26:40.596313+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,,,,1703.4,56.4,33.42,63.93,50.59,493.8
2026-07-21T12:26:47.535048+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,2.2876,44.41,48.57,40776.8,56.4,33.42,63.93,50.59,475.3
2026-07-21T13:53:45.347199+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,2.2542,42.89,47.8,40119.8,56.9,34.17,64.69,50.67,469.9
2026-07-21T13:53:49.650989+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,2.2542,42.89,47.8,40119.8,56.9,34.17,64.69,50.67,469.9
2026-07-21T13:57:49.002361+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2501,42.29,46.9,40486.6,56.9,34.18,63.98,50.91,506.0
2026-07-21T13:58:28.200063+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.314,46.09,49.67,40540.7,54.59,33.0,63.76,50.67,507.4
2026-07-21T14:01:33.375800+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,2.2877,44.07,49.23,40627.1,54.25,33.58,64.04,51.3,471.3
2026-07-21T14:01:43.684842+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,2.2877,44.07,49.23,40627.1,54.25,33.58,64.04,51.3,471.3
2026-07-21T14:04:45.146776+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.427,54.87,55.89,40668.2,54.29,31.83,62.19,50.67,491.7
2026-07-21T14:09:26.715263+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,2.3056,45.92,49.23,40846.4,54.04,32.77,63.6,50.2,476.6
2026-07-21T14:09:40.784554+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,2.2955,44.88,49.59,40901.3,55.77,33.3,63.98,51.85,494.5
2026-07-21T14:11:25.682985+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,2.2934,44.69,48.98,40712.8,54.84,33.31,63.38,51.7,500.1
2026-07-21T14:11:30.236857+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,2.2934,44.69,48.98,40712.8,54.84,33.31,63.38,51.7,500.1
2026-07-21T14:15:25.536798+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,2.3149,46.15,49.73,40982.4,54.12,32.6,63.87,52.17,491.4
2026-07-21T14:15:33.473962+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,2.3003,45.33,49.64,41025.7,55.35,33.14,63.44,50.75,513.1
2026-07-21T23:24:03.030749+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.2443,41.38,46.92,40898.8,57.28,34.33,64.69,50.91,496.9
2026-07-21T23:24:09.686001+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,2.2443,41.38,46.92,40898.8,57.28,34.33,64.69,50.91,496.9
2026-07-21T23:26:52.705924+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,2.2905,44.6,49.14,40967.6,55.51,33.32,63.28,50.43,493.5
2026-07-21T23:26:59.398220+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,2.2905,44.6,49.14,40967.6,55.51,33.32,63.28,50.43,493.5
2026-07-21T23:30:43.148983+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.3434,48.49,51.06,40980.1,55.01,32.69,62.51,52.33,469.7
2026-07-21T23:30:48.727561+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,2.3434,48.49,51.06,40980.1,55.01,32.69,62.51,52.33,469.7
2026-07-21T23:39:33.782722+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2546,42.33,47.37,41137.8,55.81,34.03,64.09,52.57,488.4
2026-07-21T23:39:38.829335+00:00,claude-fable-5__rl:eng:ctx_proposal,true,42,2.2485,42.65,47.27,41206.0,56.52,34.31,65.13,51.3,496.4
2026-07-21T23:48:08.855940+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,2.2921,44.43,49.09,41319.7,55.81,33.25,64.25,51.7,479.5
2026-07-21T23:48:18.136043+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,2.2903,45.27,48.89,41350.9,54.63,33.67,62.57,52.17,489.0
2026-07-22T01:21:06.959436+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,2.2506,42.33,47.23,40454.7,55.68,34.36,64.04,50.04,469.4
2026-07-22T01:21:13.667646+00:00,claude-fable-5__rl:eng:ctx_proposal,true,42,2.2464,42.3,46.99,40512.0,56.14,34.4,65.34,49.09,503.1
2026-07-22T01:23:43.622731+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,2.3107,45.58,49.81,40568.0,54.04,32.68,62.68,52.25,483.2
2026-07-22T01:23:51.336646+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,2.3107,45.58,49.81,40568.0,54.04,32.68,62.68,52.25,483.2
2026-07-22T01:33:15.247716+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,2.3278,47.49,50.75,40723.7,55.01,33.08,62.62,52.17,521.2
2026-07-22T01:33:22.137048+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,2.3278,47.49,50.75,40723.7,55.01,33.08,62.62,52.17,521.2
